chunk_0000.wav|ín dio zi nho, um Indiozinho, um Indiozinho, dois indiozinhos|ín dio zi nho, um Indiozinho, um Indiozinho, dois indiozinhos
chunk_0061.wav|quero te ver, isso é muito ruim e você está com mau hálito Não se preocupe tromba vamos achar a sua escova eu acho que vi uma|quero te ver, isso é muito ruim e você está com mau hálito Não se preocupe tromba vamos achar a sua escova eu acho que vi uma
chunk_0062.wav|perto do lago quando estava surfando Você pode procurar ela por lá tenho certeza que você vai achar muito obrigado TIM lá vou eu|preto do lago quando estava surfando Você pode procurar ela por lá tenho certeza que você vai achar muito obrigado TIM lá vou eu
chunk_0063.wav|ela deve estar aqui em algum lugar me ajude a procurar mili amigos tenho certeza que conseguimos encontrar juntos lá está ela|ela deve estar aqui em algum lugar me ajude a procurar mili amigos tenho certeza que conseguimos encontrar juntos lá está ela
chunk_0064.wav|Obrigada por me ajudar isso foi incrível! dessa vez vou conseguir pegá-lo com meu talento especial|Obrigado por me ajudar! isso foi incrível dessa vez vou conseguir pegá-lo com meu talento especial
chunk_0065.wav|É isso aí! Meus dentinhos vão ficar limpinhos vamos nessa! agora vou ensinar para vocês como devemos escovar nosso dente|É isso aí! Meus dentinhos vão ficar limpinhos vamos nessa! agora vou ensinar para vocês como devemos escovar nosso dente
chunk_0066.wav|dentinho. primeiro Precisamos de uma escova de dentes e pasta de dente vocês têm a sua ótimo colocamo|dentinho. primeiro Precisamos de uma escova de dentes e pasta de dente vocês têm a sua ótimo colocamo
chunk_0067.wav|um pouquinho de pasta na escova mais ou menos do tamanho de uma ervilha. isso é tudo que precisamos agora começamos escovando|um pouquinho de pasta na escova mais ou menos do tamanho de uma ervilha. isso é tudo que precisamos agora começamos escovando
chunk_0068.wav|os dentes de cima, movemos a escova em pequenos círculos, bem devagar e com cuidado assim ó|os dentes de cima, movemos a escova em pequenos círculos, bem devagar e com cuidado assim ó
chunk_0069.wav|é importante escovar cada cantinho até lá atrás, depois fazemos o mesmo nos dentes de baixo lembrando sempre de escovar|é importante escovar cada cantinho até lá atrás, depois fazemos o mesmo nos dentes de baixo lembrando sempre de escovar
chunk_0070.wav|por fora por dentro o topo dos dentes, onde mastigamos a comida Ranrã e não podemos esquecer dos|por fora por dentro o topo dos dentes onde mastigamos a comida Ranrã e não podemos esquecer dos 
chunk_0071.wav|escovar a língua isso ajuda a tirar bactérias que podem causar mau hálito, basta escovar a escova suavemente na sua língua|escovar a língua isso ajuda a tirar bactérias que podem causar mau hálito, basta escovar a escova suavemente na sua língua
chunk_0072.wav|quando terminamos enxaguamos a boca com água para tirar toda a pasta de dente e claro enxaguamos Nossa escova também|quando terminamos enxaguamos a boca com água para tirar toda a pasta de dente e claro enxaguamos Nossa escova também
chunk_0073.wav|colocamos em um lugar limpo para secar. Pronto agora nossos dentes estão super limpos e protegidos das cáries e bactérias|colocamos em um lugar limpo para secar. Pronto agora nossos dentes estão super limpos e protegidos das cáries e bactérias
chunk_0074.wav|vários dentes é muito importante e deve ser feito todas as manhãs após cada refeição e antes de dormir lembre-se cuidado|vários dentes é muito importante e deve ser feito todas as manhãs após cada refeição e antes de dormir lembre-se cuidado
chunk_0075.wav|cuidar dos nossos dentes é cuidar da nossa saúde vamos fazer isso todos os dias, que sensação refrescante agora minha boca está protegida|cuidar dos nossos dentes é cuidar da nossa saúde vamos fazer isso todos os dias, que sensação refrescante agora minha boca está protegida
chunk_0076.wav|jida das cáries e bactérias vivaa!! Olá amiguinho, Uauu! que dentes limpos tromba e que hálito|jida das cáries e bactérias vivaa!! Olá amiguinho, Uauu! que dentes limpos tromba e que hálito
chunk_0077.wav|refrescante é muito importante cuidar da nossa higiene bocal, você aprendeu direitinho muito bem Oi Giramille|refrescante é muito importante cuidar da nossa higiene bocal, você aprendeu direitinho muito bem Oi Giramille
chunk_0078.wav|é importante cuidar dos nossos dentinhos Principalmente ao acordar e após todas as refeições. Assim ficamos com os dentinhos limpos e|é importante cuidar dos nossos dentinhos Principalmente ao acordar e após todas as refeições. Assim ficamos com os dentinhos limpos e
chunk_0079.wav|protegidos das bactérias e das cáries. isso mesmo tromba Temos que cuidar da nossa saúde para crescer fortes e saudáveis Você conhece|protegidos das bactérias e das cáries. isso mesmo tromba Temos que cuidar da nossa saúde para crescer fortes e saudáveis Você conhece
chunk_0080.wav|Fada do Dente podemos ouvir a canção dela agora é muito mágico e nos ensina o que fazer quando o dentinho cai vamos|Fada do Dente podemos ouvir a canção dela agora é muito mágico e nos ensina o que fazer quando o dentinho cai vamos
chunk_0081.wav|assistir junto Eba Mili Mili beijos para você você nunca vai me encontrar sim|assistir junto Eba Mili Mili beijos para você você nunca vai me encontrar sim
chunk_0082.wav|Ah vou sim você é grande demais para se esconder vou te dar uma chance vou contar até 10 e você se esconde|Ah vou sim você é grande demais para se esconder vou te dar uma chance vou contar até 10 e você se esconde
chunk_0083.wav|rápido Vou me esconder tão bem que você não vai conseguir me achar Ah é mesmo então vamos ver|rápido Vou me esconder tão bem que você não vai conseguir me achar Ah é mesmo então vamos ver
chunk_0084.wav|um dois três quatro cinco seis sete oito|um dois três quatro cinco seis sete oito
chunk_0085.wav|9 10 lá vou eu ah você encontrou essa foi bem fácil|9 10 lá vou eu ah você encontrou essa foi bem fácil
chunk_0086.wav|Tim espere olha só essas pegadas Nossa Qual o melhor amigo passou por aqui vamos descobrir juntos|Tim espere olha só essas pegadas Nossa Qual o melhor amigo passou por aqui vamos descobrir juntos
chunk_0087.wav|vamos nessa Olá pequenos veja o que encontraram meu caminho até aqui você deve ter visto muitas coisas|vamos nessa Olá pequenos veja o que encontraram meu caminho até aqui você deve ter visto muitas coisas
chunk_0088.wav|sim o que você aprendeu sobre viver na Savana Ah meu jovens a Savana é um lar|sim o que você aprendeu sobre viver na Savana Ah meu jovens a Savana é um lar
chunk_0089.wav|mais frágil cada planta cada gota d'água cada criatura desempenha um papel especial|mais frágil cada planta cada gota d'água cada criatura desempenha um papel especial
chunk_0090.wav|as árvores fornecem sombra e frutos os rios sustentam a vida e nos animais devemos viver em harmonia|as árvores fornecem sombra e frutos os rios sustentam a vida e nos animais devemos viver em harmonia
chunk_0091.wav|Harmonia como fazer mude isso nós cuidamos um dos outros e do nosso lar não desperdiçamos água|Harmonia como fazer mude isso nós cuidamos um dos outros e do nosso lar não desperdiçamos água
chunk_0092.wav|onde ficamos as plantas e ajudamos quem precisa como quando protegemos aquele ninho de pássaros da chuva forte exatamente|onde ficamos as plantas e ajudamos quem precisa como quando protegemos aquele ninho de pássaros da chuva forte exatamente
chunk_0093.wav|pequenas ações como essa fazem uma grande diferença Então vamos fazer mais podemos começar|pequenas ações como essa fazem uma grande diferença Então vamos fazer mais podemos começar
chunk_0094.wav|tá limpando o lixo que às vezes encontramos isso é maravilhoso cuidar da nossa casa é responsabilidade de todos nós|tá limpando o lixo que às vezes encontramos isso é maravilhoso cuidar da nossa casa é responsabilidade de todos nós
chunk_0095.wav|lembrem-se meus jovens a natureza nos dá tudo que precisamos e em troca devemos protegê-la com amor|lembrem-se meus jovens a natureza nos dá tudo que precisamos e em troca devemos protegê-la com amor
chunk_0096.wav|cuidado nós Prometemos Vamos cuidar da savana e ensinar aos outros também vocês me dão Esperança|cuidado nós Prometemos Vamos cuidar da savana e ensinar aos outros também vocês me dão Esperança
chunk_0097.wav|para um futuro agora é bom espalhem a bondade vamos plantar uma árvore aqui perto do lago isso devemos cuidar da|para um futuro agora é bom espalhem a bondade vamos plantar uma árvore aqui perto do lago isso devemos cuidar da
chunk_0098.wav|pois aqui é o nosso lar Pronto agora com muito amor e cuidado essa árvore vai crescer e servir de casa para vários|pois aqui é o nosso lar Pronto agora com muito amor e cuidado essa árvore vai crescer e servir de casa para vários
chunk_0099.wav|passarinhos e para Nina pular entre o galho e outro e também podemos comer seus frutos são deliciosos e saudáveis|passarinhos e para Nina pular entre o galho e outro e também podemos comer seus frutos são deliciosos e saudáveis
chunk_0100.wav|essa conversa está me deixando com água na boca o que acha de escutar a canção o meu lanchinho comendo maçãs TIM|essa conversa está me deixando com água na boca o que acha de escutar a canção o meu lanchinho comendo maçãs TIM
chunk_0101.wav|genial Gostei dessa ideia vamos nessa Bom dia Juba olha só que demais|genial Gostei dessa ideia vamos nessa Bom dia Juba olha só que demais
chunk_0102.wav|pronto para nossa Aventura de hoje bom dia pai eu estou super animado este lugar é lindo|pronto para nossa Aventura de hoje bom dia pai eu estou super animado este lugar é lindo
chunk_0103.wav|o que Vamos explorar Hoje vamos até Oasis misterioso dizem que é um lugar cheio de surpresas e|o que Vamos explorar Hoje vamos até Oasis misterioso dizem que é um lugar cheio de surpresas e
chunk_0104.wav|uau vamos lá então não vejo a hora de ver Oasis vai ser uma aventura e tanto Olha a chuva|uau vamos lá então não vejo a hora de ver Oasis vai ser uma aventura e tanto Olha a chuva
chunk_0105.wav|chegamos este lugar ainda mais bonita do que eu imaginava aqui é a casa de vários animais|chegamos este lugar ainda mais bonita do que eu imaginava aqui é a casa de vários animais
chunk_0106.wav|girafas elefantes zebras leões avestruz rinocerontes e por aí vai|girafas elefantes zebras leões avestruz rinocerontes e por aí vai
chunk_0107.wav|são incontáveis animais aqui é um grande abrigo então tai e Olha quantas árvores e flores|são incontáveis animais aqui é um grande abrigo então tai e Olha quantas árvores e flores
chunk_0108.wav|conseguimos sentir e ver a vida acontecendo de perto que demais vamos parar aqui e começar a explorar|conseguimos sentir e ver a vida acontecendo de perto que demais vamos parar aqui e começar a explorar
chunk_0109.wav|certeza que vamos encontrar vários amiguinhos animais pelo caminho e quem sabe quais animais vamos encontrar ótima ideia|certeza que vamos encontrar vários amiguinhos animais pelo caminho e quem sabe quais animais vamos encontrar ótima ideia
chunk_0110.wav|Tai tenho certeza que vamos fazer várias descobertas e vários mini amigos pelo caminho olha ali|Tai tenho certeza que vamos fazer várias descobertas e vários mini amigos pelo caminho olha ali
chunk_0111.wav|de gazelas você sabia que os bebês gazelas não tem nenhum cheiro e quando crescem podem correr mais rápido que um leão|de gazelas você sabia que os bebês gazelas não tem nenhum cheiro e quando crescem podem correr mais rápido que um leão
chunk_0112.wav|isso mesmo Juba eles podem correr mais rápido do que você o quê mais rápido do que eu|isso mesmo Juba eles podem correr mais rápido do que você o quê mais rápido do que eu
chunk_0113.wav|isso é impressionante Tay que demais e ali do outro lado tem um bando de macacos brincando olhe vou|isso é impressionante Tay que demais e ali do outro lado tem um bando de macacos brincando olhe vou
chunk_0114.wav|quero uma foto isso é tão divertido esse lugar é realmente mágico cada cantinho tem algo novo para descobrir|quero uma foto isso é tão divertido esse lugar é realmente mágico cada cantinho tem algo novo para descobrir
chunk_0115.wav|Opa tá isso é muito maneiro acho que encontrei uma caverna uau juba|Opa tá isso é muito maneiro acho que encontrei uma caverna uau juba
chunk_0116.wav|vamos ver o que tem aí dentro mas com cuidado não sabemos o que vamos encontrar aí dentro talvez tenha|vamos ver o que tem aí dentro mas com cuidado não sabemos o que vamos encontrar aí dentro talvez tenha
chunk_0117.wav|encontrado o segredo do Oasis isso é demais Juba essas pinturas devem ser muito antigas mostra|encontrado o segredo do Oasis isso é demais Juba essas pinturas devem ser muito antigas mostra
chunk_0118.wav|lugar especial há séculos essas pinturas devem ter milhares de anos Isso é muito tempo nem consigo|lugar especial há séculos essas pinturas devem ter milhares de anos Isso é muito tempo nem consigo
chunk_0119.wav|é muito antigo Isso é uma relíquia pai é muito bonito hoje foi uma verdadeira|é muito antigo Isso é uma relíquia pai é muito bonito hoje foi uma verdadeira
chunk_0120.wav|aprendemos muito sobre os animais da savana e descobrimos o segredo do Oasis e agora que tal|aprendemos muito sobre os animais da savana e descobrimos o segredo do Oasis e agora que tal
chunk_0121.wav|para um merecido lanche acho que estou com uma fominha ótima ideia essa aventura|para um merecido lanche acho que estou com uma fominha ótima ideia essa aventura
chunk_0122.wav|me deixou faminto podemos comer nosso lanchinho ouvindo a musiquinha meu lanchinho da Jamily o que você acha|me deixou faminto podemos comer nosso lanchinho ouvindo a musiquinha meu lanchinho da Jamily o que você acha
chunk_0123.wav|eu adoro essa musiquinha ela nos ensina Por que devemos comer todo nosso lanchinho é muito divertida|eu adoro essa musiquinha ela nos ensina Por que devemos comer todo nosso lanchinho é muito divertida
chunk_0124.wav|vamos nessa Mili Mili beijos para você sério TIM mas como eles fazem isso|vamos nessa Mili Mili beijos para você sério TIM mas como eles fazem isso
chunk_0125.wav|Nossa que susto então a dengue é causada por esses mosquitinhos Tim nossa é melhor a gente se proteger|Nossa que susto então a dengue é causada por esses mosquitinhos Tim nossa é melhor a gente se proteger
chunk_0126.wav|legal acho que vou pedir para gira Mili comprar mais repelentes Então é isso aí assim fica bem mais|legal acho que vou pedir para gira Mili comprar mais repelentes Então é isso aí assim fica bem mais
chunk_0127.wav|e para se divertir ainda mais o que acham de escutar comigo a música gira gira gira Mili e dançar junto com a Jamily|e para se divertir ainda mais o que acham de escutar comigo a música gira gira gira Mili e dançar junto com a Jamily
chunk_0128.wav|Eba até a próxima Mili Mili beijos para você mamãe e papai assistindo giramili os seus filhos aprendem|Eba até a próxima Mili Mili beijos para você mamãe e papai assistindo giramili os seus filhos aprendem
chunk_0129.wav|conteúdos bilingue formação de palavras separações silábicas singular plural animais|conteúdos bilingue formação de palavras separações silábicas singular plural animais
chunk_0130.wav|Português Inglês e muito mais bom dia amigas Hoje vamos brincar|Português Inglês e muito mais bom dia amigas Hoje vamos brincar
chunk_0131.wav|aprender sobre bons modos esse assunto é muito importante dia giramile que legal gosto muito quando as pessoas são|aprender sobre bons modos esse assunto é muito importante dia giramile que legal gosto muito quando as pessoas são
chunk_0132.wav|e tem bons modos é muito bom quando vemos que humilha amigo respeita o espaço do outro podemos começar praticando palavras mágicas como|e tem bons modos é muito bom quando vemos que humilha amigo respeita o espaço do outro podemos começar praticando palavras mágicas como
chunk_0133.wav|por favor e obrigado isso mesmo Toco e vamos lembrar de usar essas palavras durante todo o nosso dia combinado assim vai ser mais|por favor e obrigado isso mesmo Toco e vamos lembrar de usar essas palavras durante todo o nosso dia combinado assim vai ser mais
chunk_0134.wav|de lembrar no final do dia sim eu vou ser um mais educado de todos eu que vou ser ninguém vai ser mais educado do que eu|de lembrar no final do dia sim eu vou ser um mais educado de todos eu que vou ser ninguém vai ser mais educado do que eu
chunk_0135.wav|eu a super Nina vou ser a mais educada de todos esperem por ver então eu acho que tem uma super missão|eu a super Nina vou ser a mais educada de todos esperem por ver então eu acho que tem uma super missão
chunk_0136.wav|deverão ser gentis e falar as palavras mágicas durante todo o dia todos aceitam sim quem quer uma fruta deve|deverão ser gentis e falar as palavras mágicas durante todo o dia todos aceitam sim quem quer uma fruta deve
chunk_0137.wav|educadamente Vamos tentar tirar Mili quero uma banana por favor Claro Guga Aqui está a sua banana muito bem|educadamente Vamos tentar tirar Mili quero uma banana por favor Claro Guga Aqui está a sua banana muito bem
chunk_0138.wav|e eu queria receber uma maçã por gentileza aqui está tuco Obrigada por perguntar tão educadamente eu acho que também|e eu queria receber uma maçã por gentileza aqui está tuco Obrigada por perguntar tão educadamente eu acho que também
chunk_0139.wav|vou querer uma banana por favor assistir a Mili quero uma banana Claro Nina muito bem aqui está|vou querer uma banana por favor assistir a Mili quero uma banana Claro Nina muito bem aqui está
chunk_0140.wav|são muito nutritivas e importantes para a saúde Obrigada giramile está mesmo uma delícia suco passa a bola por favor|são muito nutritivas e importantes para a saúde Obrigada giramile está mesmo uma delícia suco passa a bola por favor
chunk_0141.wav|Claro aqui vai Guga pegue Obrigado tuco você foi muito gentil Nina pode|Claro aqui vai Guga pegue Obrigado tuco você foi muito gentil Nina pode
chunk_0142.wav|passar a bola por favor use as mãos assim Claro lá vai ela Obrigado Nina parabéns você está|passar a bola por favor use as mãos assim Claro lá vai ela Obrigado Nina parabéns você está
chunk_0143.wav|muito hoje e aí Emília amigos o que aprendemos hoje sobre bons modos aprendi que dizer por favor e obrigado|muito hoje e aí Emília amigos o que aprendemos hoje sobre bons modos aprendi que dizer por favor e obrigado
chunk_0144.wav|muito legal e faz com que todos se sintam bem e eu vi que ser educado é fácil e faz nossas brincadeiras mais divertidas vou continuar|muito legal e faz com que todos se sintam bem e eu vi que ser educado é fácil e faz nossas brincadeiras mais divertidas vou continuar
chunk_0145.wav|falando as palavrinhas mágicas para sempre e eu aprendi que ser educado é muito importante para que todos nós possamos viver bem e|falando as palavrinhas mágicas para sempre e eu aprendi que ser educado é muito importante para que todos nós possamos viver bem e
